"","aascode","aasname","Adj DPS aT4Q","Adj DPS n-0","Adj DPS n-1","Adj DPS n-2","Adj DPS n-3","Adj DPS n-4","Adj DPS n-5","Adj DPS n-6","Adj DPS n-7","Adj DPS n-8","Adj DPS n-9","Adj EPS aT4Q","Adj EPS n-0","Adj EPS n-1","Adj EPS n-2","Adj EPS n-3","Adj EPS n-4","Adj EPS n-5","Adj EPS n-6","Adj EPS n-7","Adj EPS n-8","Adj EPS n-9","Div Payout  aT4Q","Div Payout  n-0","Div Payout  n-1","Div Payout  n-2","Div Payout  n-3","Div Payout  n-4","Div Payout  n-5","Div Payout  n-6","Div Payout  n-7","Div Payout  n-8","Div Payout  n-9","PMoAD DY aT4Q","PMoAD DY n-0","PMoAD DY n-1","PMoAD DY n-2","PMoAD DY n-3","PMoAD DY n-4","PMoAD DY n-5","PMoAD DY n-6","PMoAD DY n-7","PMoAD DY n-8","PMoAD DY n-9","PMoAD P/EPS aT4Q","PMoAD P/EPS n-0","PMoAD P/EPS n-1","PMoAD P/EPS n-2","PMoAD P/EPS n-3","PMoAD P/EPS n-4","PMoAD P/EPS n-5","PMoAD P/EPS n-6","PMoAD P/EPS n-7","PMoAD P/EPS n-8","PMoAD P/EPS n-9","PMoFQED DY aT4Q","PMoFQED DY n-0","PMoFQED DY n-1","PMoFQED DY n-2","PMoFQED DY n-3","PMoFQED DY n-4","PMoFQED DY n-5","PMoFQED DY n-6","PMoFQED DY n-7","PMoFQED DY n-8","PMoFQED DY n-9","PMoFQED P/EPS aT4Q","PMoFQED P/EPS n-0","PMoFQED P/EPS n-1","PMoFQED P/EPS n-2","PMoFQED P/EPS n-3","PMoFQED P/EPS n-4","PMoFQED P/EPS n-5","PMoFQED P/EPS n-6","PMoFQED P/EPS n-7","PMoFQED P/EPS n-8","PMoFQED P/EPS n-9","ROE aT4Q","ROE n-0","ROE n-1","ROE n-2","ROE n-3","ROE n-4","ROE n-5","ROE n-6","ROE n-7","ROE n-8","ROE n-9"
"7090","7090","AHEALTH",12,12,11.5,11,9.53,8,13.6,12.4,10.4,12.64,6.08,37.95,37.95,29.84,29.23,28.91,25.71,24.77,23.91,28.12,18.9,12.61,31.62,31.62,38.54,37.64,32.97,31.12,54.92,51.87,36.98,66.86,48.2,2.45,2.45,2.47,3.23,2.61,2.27,4.11,5.48,4.85,9.63,7.98,12.91,12.91,15.58,11.67,12.63,13.69,13.37,9.47,7.62,6.94,6.04,2.14,2.14,2.67,3.06,2.65,2.22,4.62,5.66,5.02,10.56,7.31,14.76,14.76,14.41,12.32,12.42,14,11.89,9.17,7.37,6.33,6.6,12.95,12.95,11.22,11.88,12.98,12.8,13.4,14.03,18.03,13.61,10.37
"2658","2658","AJI",0,0,33.75,20,18.5,20,20,20,18,17,15,313.38,308.33,67.09,48.9,46.12,31.92,42.11,42.55,39.37,31.37,34.44,NA,NA,50.31,40.9,40.11,62.67,47.5,47.01,45.72,54.2,43.55,0,0,2.54,3.15,3.03,4.55,4.61,4.93,4.33,5.38,6.25,7.15,6.49,19.8,12.98,13.23,13.79,10.31,9.54,10.57,10.07,6.97,0,0,3.76,3.17,3.63,4.52,4.89,5.01,4.41,6.07,6.7,6.73,5.16,13.39,12.88,11.06,13.85,9.71,9.38,10.36,8.93,6.5,45.09,39.48,13.26,10.63,10.7,7.94,10.88,11.75,11.72,10.09,12
"6556","6556","ANNJOO",19.61,19.74,13.44,0,1.79,0,0,6.74,11.09,5.4,10.95,36.76,36.76,29.85,-24.25,4.19,2.2,-3.44,10.94,21.46,5.66,24.95,53.34,53.7,45.02,NA,42.82,NA,NA,61.6,51.68,95.39,43.87,5.77,5.81,5.93,0,1.79,0,0,3.64,4.31,2.14,10.17,9.24,9.24,7.59,-2.38,23.98,46.02,-32.31,16.92,11.98,44.52,4.31,5.53,5.57,6.91,0,1.87,0,0,4.36,4.26,2.14,10.17,9.64,9.64,6.51,-2.48,22.91,43.53,-34.4,14.13,12.14,44.52,4.31,16.82,16.82,15.64,-14.63,2.2,1.15,-1.85,5.69,11.32,3.49,15.54
"7035","7035","CCK",0,0,0,0,0,0,0,0,0,0,0,9.13,9.13,5.8,4.4,2.63,2.36,2.51,6.51,5.83,4.88,3.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,13.78,13.78,11.32,12.88,18.22,17.29,15.77,6.83,6.26,7.08,8.62,0,0,0,0,0,0,0,0,0,0,0,12.03,12.03,11.49,11.42,17.01,17.81,18.73,6.83,6.43,6.56,6.9,11.29,11.29,7.78,6.38,5.09,5.22,5.51,14.16,13.89,12.34,9.79
"5184","5184","CYPARK",0,5.09,4.79,0,0,0,0,2.1,1.46,NA,NA,22.39,22.04,19.78,16.64,15.28,13.74,9.76,7.68,7.81,NA,NA,NA,23.11,24.2,NA,NA,NA,NA,27.37,18.71,NA,NA,0,2.19,2.4,0,0,0,0,2.59,1.82,0,NA,11.49,10.53,10.07,8.92,9.91,11.71,9.67,10.58,10.29,0,NA,0,1.96,2.24,0,0,0,0,2.34,2.43,0,NA,11.99,11.78,10.79,8.49,11.98,9.73,9.61,11.68,7.71,0,NA,11.11,11.6,11.87,13.12,14.97,17.71,16.88,18.77,23.33,NA,NA
"7277","7277","DIALOG",2.57,2.53,2.02,1.93,1.33,1.4,1.27,1.08,1.08,0.89,0.77,8.41,6.56,5.22,4.87,3.82,3.42,3.13,2.7,2.09,1.63,1.34,30.54,38.52,38.6,39.71,34.79,40.89,40.42,40,51.57,54.78,57.37,0.97,1.37,1.44,1.47,1.75,1.23,1.28,1.23,2.82,3.1,2.82,31.65,28.05,26.84,27.08,19.87,33.21,31.68,32.52,18.3,17.65,20.36,1.02,1.38,1.43,1.38,0.82,1.17,1.32,1.12,2.95,3.3,2.31,29.86,27.91,27.02,28.7,42.54,34.94,30.64,35.61,17.47,16.59,24.8,14.06,11.9,12.21,13.92,13.84,14.28,14.83,26.12,24.77,29.87,19.94
"9261","9261","GADANG",2.94,2.94,2.45,1.63,1.19,0.89,0.59,0,0,0,0.44,15.39,15.17,14.32,9.01,6.53,3.09,2.18,-0.67,2.25,0.46,1.14,19.08,19.37,17.09,18.15,18.21,28.83,27.21,NA,NA,NA,39.14,3.61,2.34,3,3.47,1.99,3,3.51,0,0,0,3.68,5.36,8.26,5.69,5.23,9.15,9.61,7.75,-27.2,7.54,24.95,10.65,2.83,2.4,3.37,3.42,2.41,3.28,3.51,0,0,0,3.21,6.85,8.07,5.08,5.3,7.56,8.79,7.75,-27.2,6.59,21.05,12.21,15.03,16.31,49.94,15.66,14.45,7.77,5.88,-2.1,7.87,1.77,4.44
"3204","3204","GKENT",9.5,9.5,6.67,3.74,2.84,3,2.59,2,2.01,1.61,1.4,22.09,22.1,17.98,8.89,4.99,6.43,4.54,3.43,4.4,3.53,1.99,43.02,43,37.08,42.1,56.96,46.6,57.16,58.14,45.64,45.53,70.25,2.19,2.19,3.1,3.89,4.17,6.2,7.69,5.75,4.31,3.85,6.48,19.6,19.6,11.98,10.82,13.65,7.52,7.43,10.12,10.59,11.84,10.84,2.49,2.49,3.3,4.4,4.34,6.47,7.07,5.26,4.17,4.55,7,17.29,17.29,11.23,9.56,13.11,7.21,8.09,11.05,10.95,10.02,10.04,26.15,26.15,37.98,19.39,9.73,19.56,10.98,10.57,15.03,13.36,7.08
"5168","5168","HARTA",5.96,3.97,3.96,1.52,3.25,3.09,1.32,2.3,1.46,0.88,0.33,12.45,8.55,7.77,6.33,7.03,7.05,6.08,5.75,4.31,2.55,2.12,47.9,46.4,50.96,24.07,46.2,43.87,21.7,40.12,33.91,34.41,15.55,1.11,1.48,1.93,0.79,2.41,2.57,1.84,4.42,3.06,4.04,3.47,43.39,31.26,26.37,30.44,19.18,17.08,11.77,9.07,11.09,8.52,4.48,1.12,1.61,1.65,0.75,2.12,2.83,1.81,4.63,2.93,5.77,0,42.75,28.77,30.89,32.11,21.83,15.48,11.97,8.67,11.58,5.96,0,21.35,16.84,17.15,0.34,24.88,30.64,65.02,38.48,60.54,33.22,43.17
"0166","0166","INARI",6.27,6.14,2.53,1.83,1.03,0.49,0.29,0,0,NA,NA,8.15,7.31,4.76,4.9,3.18,1.35,0.64,0.6,0,NA,NA,77.01,83.9,53.2,37.36,32.4,36.53,46.2,NA,NA,NA,NA,2.79,3.92,2.75,2.84,2.11,5.73,7.78,0,0,NA,NA,27.64,21.4,19.38,13.14,15.39,6.37,5.94,3.79,0,NA,NA,2.83,4.64,2.83,2.74,2.24,6.29,7.57,0,0,NA,NA,27.24,18.07,18.81,13.64,14.44,5.8,6.11,0,0,NA,NA,25.93,26.6,22.08,32.27,41.95,35.19,24.23,61.42,NA,NA,NA
